MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
-309.98834,136.64497,-21.613894,-3.4430249,3.0005434,11.991024,-19.22408,4.817416,-29.953186,-0.12095547,4.111857,12.65373,-10.119297,0.29770428,0.34188306,0.4160346,0.41500634,0.4520322,0.3560982,0.3122995,0.34986618,0.40004027,0.6010983,0.52374434,0.4119859,0.035171445,0.04823133680555555,elif
-307.58456,83.55768,-23.912327,8.322581,5.650856,-14.494172,-5.591865,-8.576946,2.0254588,11.900332,-6.5791745,-5.085291,-1.3277066,0.40069923,0.41501534,0.54852617,0.6005133,0.4528032,0.33291233,0.33009708,0.38264975,0.36589894,0.41873127,0.39607286,0.34744287,0.06396039,0.13363919399752475,elif
143.15694,31.12838,-9.027104,1.4126616,-5.82787,-3.3088121,-0.52858937,3.9115896,2.5200264,-5.6130853,-4.44763,-5.5624833,-5.9073577,0.3454255,0.43868744,0.4201419,0.4200511,0.42651492,0.39086327,0.43314376,0.4042147,0.4743884,0.6207471,0.4893392,0.33619398,0.94381887,0.17494910871478872,elif
-314.3791,98.75917,-18.115704,8.369417,6.576211,9.892122,-15.592571,5.9404078,-23.71648,2.554991,1.2052716,8.464404,-7.709857,0.3772148,0.4202225,0.41860977,0.45522514,0.46155038,0.39206317,0.43099555,0.44927108,0.55579346,0.6421735,0.53286725,0.3987036,0.063091464,0.12127728834219859,elif
-295.48215,93.69615,-27.446629,29.063274,18.421036,6.412484,-31.236734,2.9251337,-27.126095,-0.07355446,-1.29375,7.214431,-12.024048,0.338886,0.4147163,0.34981653,0.33129585,0.3395842,0.30023617,0.27644798,0.30548778,0.42471412,0.48744726,0.3224774,0.23062833,0.05579492,0.11754092261904762,elif
-359.1473,173.43932,-8.302276,3.5568042,3.2776682,-7.668023,19.932775,28.989397,-4.309916,5.7118425,10.178581,0.8421115,18.668705,0.4654251,0.4992597,0.5508371,0.539404,0.5245749,0.50509584,0.53651404,0.5078467,0.533858,0.4969089,0.42952567,0.39710864,0.053545788,0.03673932165556901,elif
135.0847,22.366938,-9.777659,3.4340644,-10.667681,-5.8826437,-0.22821641,1.4613285,3.2006407,-3.108999,-2.7566211,-4.446152,-4.9059563,0.40353736,0.41198307,0.284216,0.34049633,0.33894476,0.28096783,0.2947916,0.31567138,0.48763502,0.50627947,0.2920845,0.25040984,0.9890384,0.18520301496478872,elif
-295.33466,92.66217,-28.529501,28.006548,22.334913,3.9017625,-30.270529,3.916092,-25.985,-1.5937628,0.15881261,6.8404818,-10.738282,0.3130609,0.3863505,0.31406993,0.33919224,0.35205108,0.2773158,0.2831956,0.32530776,0.44439685,0.4976161,0.3246757,0.2290253,0.05589473,0.11032905308067376,elif
-315.90433,104.41586,-12.840159,16.997313,6.647523,9.108665,-16.220234,1.2929796,-37.878265,-7.461762,1.0103457,8.920995,-2.334693,0.29652247,0.27452293,0.29066244,0.3768007,0.4459427,0.39788276,0.25665826,0.17807622,0.18802156,0.22104268,0.24687329,0.2915588,0.059694894,0.10073904263771187,elif
-365.52975,148.01112,-12.730655,21.174292,6.2811413,4.7541633,19.110191,-10.14581,2.3402436,21.389761,5.145634,8.892264,-7.7665663,0.39890248,0.44240588,0.47437856,0.44537544,0.35267103,0.30017817,0.31430653,0.35591012,0.35693324,0.36593962,0.38551694,0.41243613,0.055121142,0.04922515368852459,elif
131.96283,25.853403,-12.258669,-4.0935717,-8.639552,-1.5100386,-0.19492511,9.071198,6.913866,-4.5322328,-3.410926,-5.708648,-4.818516,0.29262972,0.3449721,0.36479545,0.4302107,0.4538156,0.38591653,0.25871235,0.18320248,0.2178408,0.2866876,0.2864681,0.29650116,0.9891293,0.18365564480633803,elif
-318.5517,97.6516,-13.742351,18.252047,4.478735,9.078196,-13.89224,3.016667,-36.656956,-4.9928317,1.9420978,9.597187,-1.9806219,0.27068874,0.3131836,0.30774704,0.37801352,0.44356573,0.40295422,0.28015897,0.20922153,0.20541728,0.24607866,0.24525674,0.2636657,0.057625752,0.11051951739804965,elif
-342.49936,94.86194,-9.472617,18.406406,0.75777537,-0.68604565,-19.036234,14.136825,-21.11046,-11.132494,-5.5574822,13.062874,3.1054504,0.27829066,0.38958362,0.44105172,0.48681942,0.40956074,0.29313385,0.32921228,0.35994267,0.34665546,0.31434247,0.29282203,0.2947895,0.04422049,0.13585150419776118,elif
-292.3268,49.63572,-32.678833,-6.240304,-20.08673,12.472013,-0.68792444,-0.9005473,-23.97102,-30.777231,4.3254685,-1.013506,-3.1534119,0.33949372,0.28439018,0.18132138,0.18743938,0.21511537,0.21737185,0.295833,0.37610325,0.41671345,0.33979493,0.1711134,0.22228405,0.0491236,0.23582106370192307,elif
140.60849,25.938307,-5.7399325,0.6185438,-7.141024,1.682313,4.3346577,3.4938812,4.7020416,-3.7452788,-6.0877414,-7.7121058,-6.035562,0.32106426,0.37436235,0.42190072,0.45748165,0.42042717,0.31985804,0.36958486,0.44175324,0.3667623,0.28294855,0.31419733,0.36409792,0.9886947,0.21555897887323944,elif
-342.7191,92.61101,-9.604647,17.42758,1.1172957,-0.98862064,-18.61384,13.685265,-20.593927,-11.346087,-5.1438913,12.377304,3.4799836,0.271059,0.32756966,0.43900144,0.46112478,0.4294661,0.28981003,0.30759338,0.35837534,0.35103604,0.31998843,0.2933906,0.3065071,0.045121916,0.13785287843528368,elif
-381.76727,48.285397,-17.541973,49.80741,4.9514465,8.631233,-8.062566,26.675823,-22.242863,5.3703437,-6.8082175,12.654366,0.48076904,0.24489476,0.25895616,0.32372096,0.36721283,0.6290196,0.5276954,0.37940452,0.417478,0.47929046,0.30840874,0.17723621,0.20652784,0.023918025,0.140106201171875,elif
-342.42148,35.175987,22.459555,-5.590248,-10.053851,14.609941,-3.6313899,3.6072958,-33.67763,-17.883413,-6.6437206,-1.206049,-3.0437014,0.47350323,0.29904616,0.26608837,0.29048946,0.111239016,0.09298072,0.16396992,0.1932285,0.26559618,0.30778462,0.31031534,0.50286597,0.023843689,0.2664794921875,elif
130.74573,25.607191,6.104232,4.701117,-6.718883,4.135649,0.64210075,3.8236694,3.7673852,-4.889223,-6.0296874,-11.225839,-9.725502,0.35231707,0.34664032,0.33063686,0.42689183,0.59214294,0.60167587,0.44706595,0.40170777,0.37781358,0.23354423,0.23905525,0.38502342,0.96443266,0.21426930147058823,elif
-383.33783,51.11683,-14.949561,50.159664,4.2774596,9.768858,-7.1975574,27.797989,-22.050516,5.3480105,-7.434186,13.273612,0.24506754,0.22012079,0.23151757,0.29138732,0.3524917,0.62530136,0.54267406,0.4189632,0.4566274,0.46743804,0.24842209,0.15194018,0.18521135,0.02413207,0.13494514016544118,elif
